State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Sex Ratio,Literacy Rate,Male Literacy Rate,Female Literacy Rate
Assam,Hailakandi,24.457496089385486,92.59154664804475,659296,337890,321406,407366,226836,180530,70659,691,251194,397653,8480,84,490,247,636,512,159215,16202,177984,139029,50056,28504,11608,419921,156243,82841,291,8648,16921,25569,22356,73531,26771,105,62,67,56
Assam,Jorhat,26.76244824016563,94.30197722567289,1092256,556805,535451,794929,432335,362594,88665,139971,1008219,54684,21051,1540,2378,719,578,3087,286330,80824,201680,295444,128050,97025,62608,604908,315550,171062,736,7211,18085,25296,38630,144578,59963,104,73,78,68
Assam,Kamrup,26.170939452054807,91.58863273972592,1517542,778461,739081,995319,550219,445100,107827,182038,877495,601784,33297,319,185,1330,55,3077,390596,43849,290097,353861,154831,118849,55011,895775,408232,212740,795,6457,17754,24211,40617,184261,75358,105,66,71,60
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,956313,490167,466146,557214,314253,242961,44961,538738,766000,20290,157789,370,6260,397,3568,1639,215691,37185,212224,199289,93137,40602,18225,618633,233739,103123,818,4739,10667,15406,21086,87093,32646,105,58,64,52
Assam,Karimganj,24.69660712250711,92.3679498575498,1228686,625864,602822,795297,435942,359355,157890,1940,521962,692489,11990,114,446,524,110,1051,261945,32695,333885,257931,76685,39637,21408,779850,284368,163990,478,12064,25453,37517,35171,119294,43298,104,65,70,60
Assam,Kokrajhar,26.497246635730868,90.13997470997688,887142,452905,434237,489305,275220,214085,29570,278665,529068,252271,101091,93,1718,396,123,2382,204896,17115,166013,154715,78788,39571,17287,552671,224715,108956,800,4612,13066,17678,26736,102861,40099,104,55,61,49
Assam,Lakhimpur,27.14128805970149,94.0775949253732,1042137,529674,512463,683486,375552,307934,81840,249426,797130,193476,46217,412,1074,250,2410,1168,293239,34694,212080,217497,107326,82885,44212,639385,268872,133615,265,4451,11429,15880,26384,113696,46006,103,66,71,60
Assam,Nagaon,26.26462170626351,92.9306191144708,2823768,1439112,1384656,1710716,921850,788866,266350,115153,1225246,1563203,26844,3036,1073,1162,61,3143,674999,124186,638088,576214,199792,115864,66994,1778277,678034,366112,1345,14457,43763,58220,81779,302531,116769,104,61,64,57
Assam,Nalbari,26.46323767605632,91.40598521126763,771639,396006,375633,531771,293184,238587,60216,23364,491582,277488,429,62,27,1004,9,1038,210706,28238,141690,192771,81507,71734,39368,442061,211320,117809,449,3526,8612,12138,19755,91709,37258,105,69,74,64
Assam,Sonitpur,26.73514926829268,92.85197804878044,1924110,983904,940206,1108572,620525,488047,109130,232207,1422824,350536,138166,1363,5088,1003,221,4909,483325,64528,416218,377653,141373,90385,49901,1159991,501239,261648,1232,10246,27709,37955,57488,219954,86521,105,58,63,52
